ID,Node,Lat,Lon
125,63 Drive-Rego Park / Queens Boulevard,-73.861762,40.72962
126,65 Street / Broadway,-73.897465,40.749136
127,66th Street-Lincoln Center / Broadway,-73.982017,40.773587
128,67 Avenue / Queens Boulevard,-73.851611,40.726388
129,68th Street–Hunter College,-73.96387,40.76814
130,69 Street,-73.902915,40.745671
131,7 Avenue / 53 Street,-73.981593,40.762928
132,7 Avenue / 9 Street,-73.98133,40.667025
133,7 Avenue / Flatbush Avenue,-73.972667,40.677465
134,71 Street / New Utrecht Avenue,-73.998864,40.619588
135,72 Street / 2 Avenue,-73.958427,40.768654
136,72 Street / Central Park West,-73.976243,40.776214
137,72nd Street / Broadway,-73.981852,40.77899
138,74 Street-Broadway,-73.89143,40.747039
139,75 Avenue / Queens Boulevard,-73.837325,40.71833
140,75 Street-Elderts Lane / Jamaica Avenue,-73.867224,40.691373
141,77 Street / 4 Avenue,-74.025743,40.629537
142,77th Street,-73.959742,40.773516
143,79 Street / New Utrecht Avenue,-74.000565,40.613979
144,79th Street / Broadway,-73.979917,40.783934
145,8 Avenue / 62 Street,-74.01081,40.634596
146,8 Street-New York University / Broadway,-73.99267,40.730625
147,80 Street / Liberty Avenue,-73.859026,40.679437
148,81 Street-Museum of Natural History / Central Park West,-73.972014,40.781978
149,82 Street-Jackson Heights,-73.884044,40.747803
150,85 Street-Forest Parkway / Jamaica Avenue,-73.86001,40.692434
151,86 Street / 2 Avenue,-73.951473,40.77788
152,86 Street / 4 Avenue,-74.028398,40.622687
153,86 Street / Central Park West,-73.969625,40.785244
154,86 Street / West 7 Street,-73.978231,40.59272
155,86th Street (Line 4),-73.955829,40.779458
156,86th Street / Broadway,-73.97611,40.788294
157,88 Street / Liberty Avenue,-73.85147,40.679842
158,9 Avenue / 39 Street,-73.994324,40.646292
159,90 Street-Elmhurst Avenue,-73.8765,40.74841
160,96 Street / 2 Avenue,-73.947588,40.783915
161,96 Street / Central Park West,-73.964845,40.791602
162,96th Street (Line 4),-73.950925,40.785681
163,96th Street / Broadway,-73.972138,40.79419
164,Alabama Avenue / Fulton Street,-73.899394,40.676893
165,Allerton Avenue / White Plains Road,-73.867244,40.865441
166,Aqueduct Racetrack,-73.835796,40.672192
167,Aqueduct-North Conduit Avenue,-73.834651,40.669204
168,Astor Place,-73.990843,40.730094
169,Astoria Boulevard / 31 Street,-73.917843,40.770257
170,Astoria-Ditmars Boulevard / 31 Street,-73.912035,40.775035
171,Atlantic Avenue / Barclays Center(2),-73.976583,40.68346
172,Atlantic Avenue / Barclays Center(B),-73.977605,40.685255
173,Atlantic Avenue / Barclays Center / 4 Avenue,-73.978865,40.683936
174,Atlantic Avenue / Snediker Avenue / Van Sinderen Avenue,-73.903097,40.675344
175,Avenue H / East 16 Street,-73.961872,40.629933
176,Avenue I / McDonald Avenue,-73.976156,40.626075
177,Avenue J / East 16 Street,-73.960777,40.625258
178,Avenue M / East 16 Street,-73.9594,40.617617
179,Avenue N / McDonald Avenue,-73.974198,40.615139
180,Avenue P / McDonald Avenue,-73.972975,40.608818
181,Avenue U / East 16 Street,-73.955929,40.599299
182,Avenue U / McDonald Avenue,-73.973366,40.596037
183,Avenue U / West 7 Street,-73.978946,40.596504
184,Avenue X / McDonald Avenue,-73.974251,40.589619
185,Bay 50 Street / Stillwell Avenue,-73.983765,40.58884
186,Bay Parkway / 86 Street,-73.993718,40.601873
187,Bay Parkway / McDonald Avenue,-73.975363,40.620981
188,Bay Parkway / West 7 Street,-73.982051,40.612881
189,Bay Ridge Avenue / 4 Avenue,-74.023377,40.634967
190,Bay Ridge-95 Street / 4 Avenue,-74.031239,40.616175
191,Baychester Avenue,-73.837953,40.879577
192,Beach 105 Street / Rockaway Freeway,-73.827375,40.583205
193,Beach 25 Street / Rockaway Freeway,-73.76179,40.599677
194,Beach 36 Street / Rockaway Freeway,-73.768126,40.595533
195,Beach 44 Street / Rockaway Freeway,-73.775983,40.592906
196,Beach 60 Street / Rockaway Freeway,-73.788521,40.592373
197,Beach 67 Street / Rockaway Freeway,-73.79631,40.590924
198,Beach 90 Street / Rockaway Freeway,-73.814135,40.587915
199,Beach 98 Street / Rockaway Freeway,-73.820429,40.585522
200,Bedford Avenue / North 7 Street,-73.957519,40.717793
201,Bedford Park Boulevard / Grand Concourse,-73.887473,40.872158
202,Bedford Park Boulevard–Lehman College,-73.890178,40.873327
203,Bedford-Nostrand Avenues / Lafayette Avenue,-73.95161,40.689975
204,Bergen Street / Flatbush Avenue,-73.975098,40.680828
205,Bergen Street / Smith Street,-73.990529,40.686893
206,Beverley Road / East 16 Street,-73.964497,40.644229
207,Beverly Road / Nostrand Avenue,-73.948959,40.645097
208,Bleecker Street,-73.994757,40.726051
209,Borough Hall (Line 4),-73.990157,40.692387
210,Borough Hall / Court Street-Montague Street,-73.990298,40.693595
211,Botanic Garden Eastern Parkway Franklin Avenue,-73.95911,40.670626
212,Bowery / Delancey Street,-73.993442,40.720313
213,Bowling Green,-74.013544,40.704634
214,Briarwood / Main Street,-73.81994,40.70928
215,Brighton Beach / Brighton 6 Street,-73.961276,40.577665
216,Broad Channel,-73.815912,40.60838
217,Broad Street / Wall Street,-74.010884,40.707015
218,Broadway / 31 Street,-73.925409,40.761982
219,Broadway / Union Avenue,-73.950083,40.705569
220,Broadway Junction (East New York) / Fulton Street,-73.904003,40.678329
221,Broadway Junction (Fulton Street),-73.903287,40.678642
222,Broadway-Lafayette St / Bleecker St,-73.995493,40.725322
223,Bronx Park East / White Plains Road,-73.868457,40.848828
224,Brook Avenue,-73.919345,40.807748
225,Brooklyn Bridge–City Hall,-74.004889,40.712768
226,Buhre Avenue,-73.832569,40.846809
227,Burke Avenue / White Plains Road,-73.867164,40.871356
228,Burnside Avenue,-73.907685,40.853452
229,Bushwick Avenue-Aberdeen Street,-73.905144,40.682316
230,Canal Street (Line 4),-74.000599,40.718615
231,Canal Street / 6 Avenue,-74.005409,40.720778
232,Canal Street / Broadway,-74.001786,40.719513
233,Canal Street / Centre Street,-74.000261,40.717831
234,Canal Street / Varick Street,-74.006277,40.722854
235,Canarsie-Rockaway Parkway / Glenwood Road,-73.901948,40.646569
236,Carroll Street / Smith Street,-73.995775,40.67925
237,Castle Hill Avenue,-73.851545,40.834289
238,Cathedral Parkway (110 Street) / Central Park West,-73.95848,40.799983
239,Cathedral Parkway (110th Street) / Broadway,-73.966393,40.804255
240,Central Avenue / Myrtle Avenue,-73.927397,40.697857
241,Central Park North (110th Street) / Lenox Avenue,-73.952614,40.798482
242,Chambers Street / Centre Street,-74.003188,40.714168
243,Chambers Street / Church Street,-74.009047,40.713747
244,Chambers Street / West Broadway,-74.009327,40.715794
245,Chauncey Street / Broadway,-73.910457,40.682893
246,Christopher Street-Sheridan Square / 7 Avenue South,-74.003076,40.733468
247,Church Avenue / East 18 Street,-73.963284,40.649523
248,Church Avenue / McDonald Avenue,-73.979352,40.643175
249,Church Avenue / Nostrand Avenue,-73.949575,40.650842
250,City Hall / Broadway,-74.006737,40.713469
251,Clark Street / Henry Street,-73.992979,40.69772
252,Classon Avenue / Lafayette Avenue,-73.96007,40.688872
253,Cleveland Street / Fulton Street,-73.884639,40.679946
254,Clinton-Washington Avenues,-73.966781,40.683613
255,Clinton-Washington Avenues / Lafayette Avenue,-73.96755,40.68809
256,Coney Island - Stillwell Avenue / Surf Avenue,-73.981171,40.577114
257,Cortelyou Road / East 16 Street,-73.963937,40.641267
258,Cortlandt Street / Church Street,-74.010694,40.710836
259,Court Sq(7),-73.94571,40.746209
260,Court Sq(G),-73.943833,40.746552
261,Court Sq-23 St / 44 Drive,-73.947207,40.747955
262,Court Street / Montague Street,-73.992678,40.694409
263,Crescent Street / Fulton Street,-73.872627,40.683453
264,Crown Heights–Utica Avenue,-73.931835,40.668935
265,Cypress Avenue,-73.914042,40.805367
266,Cypress Hills / Jamaica Avenue,-73.87255,40.689941
267,DeKalb Avenue / Flatbush Avenue,-73.981175,40.68981
268,DeKalb Avenue / Wyckoff Avenue,-73.918425,40.70381
269,Delancey Street / Essex Street,-73.98824,40.718803
270,Ditmas Avenue / McDonald Avenue,-73.978255,40.635453
271,Dyckman Street (Line A),-73.927071,40.865743
272,Dyckman Street / Nagle Avenue,-73.92515,40.860951
273,East 105 Street / Turnbull Avenue,-73.899486,40.650571
274,East 143 Street - Saint Mary's Street,-73.907632,40.808349
275,East 149 Street,-73.904141,40.811894
276,East 180th Street / Morris Park Avenue,-73.87346,40.841922
277,East Broadway / Canal Street-Rutgers Street,-73.98992,40.714402
278,Eastchester-Dyre Avenue,-73.830834,40.888299
279,Eastern Parkway-Brooklyn Museum,-73.96432,40.6718
280,Elder Avenue,-73.879131,40.828581
281,Elmhurst Avenue / Broadway,-73.88303,40.742813
282,Essex Street / Delancey Street,-73.987185,40.718419
283,Euclid Avenue/ Pitkin Avenue,-73.872106,40.675376
284,Far Rockaway-Mott Avenue,-73.755405,40.603994
