ID,Node,Lat,Lon
158,Longhua,31.172575,121.452834
159,Longxi Road,31.19433,121.379917
160,Longyang Road,31.202491,121.557725
161,Longyao Road,31.159846,121.459762
162,Loushanguan Road,31.211167,121.404
163,Luban Road,31.199194,121.474984
164,Luheng Road,31.119073,121.497812
165,Lujiabang Road,31.211771,121.486108
166,Lujiazui,31.238202,121.502308
167,Luonan Xincun,31.388732,121.357451
168,Luoshan Road,31.152801,121.593348
169,Madang Road,31.209386,121.476766
170,Malu,31.319459,121.276839
171,Meilan Lake,31.40172,121.350121
172,Middle Chuangxin Road,31.213857,121.673735
173,Middle Huaihai Road,31.22183,121.45981
174,Middle Huaxia Road,31.175843,121.583099
175,Middle Jiasong Road,31.16604772,121.2196957
176,Middle Longhua Road,31.184544,121.456927
177,Middle Yanggao Road,31.227526,121.548714
178,Middle Yanji Road,31.288591,121.53494
179,Minhang Development Zone,31.000548,121.369776
180,Minlei Road,31.27045713,121.6638042
181,Minrui Road,31.05020024,121.5260669
182,Minsheng Road,31.235849,121.543524
183,Nanchen Road,31.321436,121.398723
184,Nanpu Bridge,31.208593,121.499575
185,Nanxiang,31.296842,121.323269
186,Nenjiang Road,31.314788,121.531951
187,Ningguo Road,31.268661,121.53244
188,North Jiading,31.39151,121.237326
189,North Jiangyang Road,31.407855,121.439823
190,North Sichuan Road,31.252075,121.484351
191,North Waigaoqiao Free Trade Zone,31.347839,121.586914
192,North Xizang Road,31.263523,121.468782
193,North Yanggao Road,31.280091,121.602937
194,North Zhongshan Road,31.258759,121.45922
195,Oriental Land,31.10050663,121.0148925
196,Oriental Sports Center,31.153365,121.480304
197,Panguang Road,31.364178,121.355836
198,Panlong Road,31.18842413,121.2742148
199,Pengpu Xincun,31.306603,121.448642
200,People's Square,31.23271,121.475755
201,Pudian Road (Line 4),31.222366,121.532052
202,Pudian Road (Line 6),31.220151,121.529103
203,Pudong Avenue,31.240012,121.519379
204,Pudong International Airport,31.150461,121.805852
205,Puhang Road,31.04318903,121.5263224
206,Pujiang Town,31.096244,121.506388
207,Pusan Road,31.150836,121.538879
208,Qibao,31.155291,121.34923
209,Qihua Road,31.322314,121.373568
210,Qilianshan Road,31.271657,121.375957
211,Qingpu Xincheng,31.16078244,121.1210952
212,Qixin Road,31.13266,121.35646
213,Qufu Road,31.242306,121.471543
214,Quyang Road,31.276519,121.490709
215,Sanlin,31.143226,121.51152
216,Sanlu Highway,31.05829376,121.5230415
217,Sanmen Road,31.313164,121.508292
218,Shangcheng Road,31.230299,121.516214
219,Shangda Road,31.314962,121.408601
220,Shanghai Automobile City,31.285385,121.180808
221,Shanghai Children's Medical Center,31.203289,121.52349
222,Shanghai Circuit,31.331837,121.226061
223,Shanghai Circus World,31.279933,121.452016
224,Shanghai Indoor Stadium,31.182779,121.437276
225,Shanghai Library,31.208099,121.44435
226,Shanghai Natural History Museum,31.23824,121.45785
227,Shanghai Railway Station,31.24969,121.458216
228,Shanghai Science & Technology Museum,31.218029,121.545374
229,Shanghai South Railway Station,31.154527,121.430133
230,Shanghai Stadium,31.185488,121.44339
231,Shanghai Swimming Center,31.179222,121.441639
232,Shanghai University,31.320572,121.388813
233,Shanghai West Railway Station,31.262692,121.400925
234,Shanghai Zoo,31.190245,121.368146
235,Shangnan Road,31.149132,121.506283
236,Shendu Highway,31.061409,121.512228
237,Shenjiang Road,31.280188,121.62678
238,Sheshan,31.104466,121.22972
239,Shibo Avenue,31.18492,121.47957
240,Shiguang Road,31.322757,121.531934
241,Shilong Road,31.157923,121.443196
242,Shuichan Road,31.381401,121.488176
243,Shuicheng Road,31.199425,121.392076
244,Shuyuan,30.959289,121.850535
245,Sijing,31.118319,121.26045
246,Siping Road,31.274878,121.50148
247,Songbin Road,31.371081,121.492827
248,Songfa Road,31.345147,121.500416
249,Songhong Road,31.218225,121.359473
250,Songjiang South Railway Station,30.985222,121.231067
251,Songjiang Sports Center,31.015566,121.230487
252,Songjiang University Town,31.054088,121.232617
253,Songjiang Xincheng,31.03031,121.230739
254,Songyuan Road,31.196593,121.41173
255,South Changjiang Road,31.332049,121.491555
256,South Huangpi Road,31.222728,121.473291
257,South Lingyan Road,31.148762,121.495316
258,South Qilianshan Road,31.237623,121.367276
259,South Shaanxi Road,31.214999,121.458266
260,South Waigaoqiao Free Trade Zone,31.321588,121.601946
261,South Xizang Road,31.201961,121.489561
262,South Yanggao Road,31.187572,121.525106
263,Taierzhuang Road,31.25444405,121.5931401
264,Tangqiao,31.209798,121.518625
265,Tangzhen,31.213344,121.656565
266,Taopu Xincun,31.281603,121.349623
267,Tiantong Road,31.243907,121.482449
268,Tieli Road,31.408163,121.461219
269,Tilanqiao,31.253465,121.506676
270,Tonghe Xincun,31.331129,121.441538
271,Tongji University,31.282181,121.50631
272,Waihuanlu,31.121008,121.3931
273,Wangyuan Road,30.93459727,121.4797534
