ID,Node,Lat,Lon
152,theydonbois,51.67255207,0.102905195
153,denmarkhill,51.46820065,-0.090973475
154,deptfordbridge,51.47447677,-0.022038032
155,elversonroad,51.46837219,-0.016801982
156,langdonpark,51.51888394,-0.015199389
157,dollishill,51.55185062,-0.238783341
158,willesdengreen,51.54937331,-0.222393184
159,ealingbroadway,51.51486201,-0.301995973
160,ealingcommon,51.51024869,-0.28713701
161,gloucesterroad,51.49449958,-0.183529157
162,highstreetkensington,51.50072947,-0.191551653
163,eastacton,51.51626344,-0.248097815
164,whitecity,51.51223246,-0.224617523
165,eastcote,51.57655187,-0.396808871
166,raynerslane,51.57539678,-0.371046386
167,ruislipmanor,51.57345162,-0.412834927
168,eastfinchley,51.58733256,-0.164729454
169,highgate,51.57764663,-0.146920433
170,eastham,51.53924616,0.05153071
171,eastputney,51.45887981,-0.210983843
172,putneybridge,51.46786536,-0.209351023
173,edgware,51.61422966,-0.275079226
174,edgwareroad(bakerlooline),51.52064538,-0.170525141
175,marylebone,51.52239669,-0.163478152
176,kennington,51.48866247,-0.105056213
177,hornchurch,51.55435508,0.218941418
178,lewisham,51.46488071,-0.012418308
179,temple,51.51104062,-0.113711342
180,waterloo,51.50314665,-0.113244847
181,kingscrossstpancras,51.53031248,-0.123857716
182,southhampstead,51.54147687,-0.178356783
183,warrenstreet,51.52458001,-0.138263919
184,eustonsquare,51.52866435,-0.133282058
185,hainault,51.60284531,0.094122987
186,finchleycentral,51.60090327,-0.193206201
187,finchleyroad,51.54709622,-0.180036141
188,swisscottage,51.54303487,-0.175612186
189,finchleyroad&frognal,51.55011952,-0.183636782
190,hampsteadheath,51.55519994,-0.164551761
191,manorhouse,51.57074715,-0.09567055
192,sevensisters,51.58336217,-0.072452392
193,foresthill,51.43930832,-0.053314119
194,sydenham,51.42734126,-0.055074289
195,fulhambroadway,51.48026093,-0.195529766
196,westbrompton,51.48732894,-0.195524412
197,beckton,51.51437662,0.061539706
198,gantshill,51.57655294,0.066098526
199,newburypark,51.57563834,0.090317586
200,southkensington,51.49407139,-0.173908621
