ID,Node,Lat,Lon
160,Shin-egota,35.732592,139.670439
161,Shin-itabashi,35.748976,139.720929
162,Shin-Kiba,35.645902,139.826694
163,Shin-K?enji,35.697819,139.648272
164,Shin-Nakano,35.697655,139.66982
165,Shin-ochanomizu,35.696931,139.765433
166,Shin-okachimachi,35.70693,139.783041
167,Shin-?tsuka,35.726075,139.729829
168,Shin-takashimadaira,35.79024,139.654304
169,Shinagawa Seaside,35.609449,139.749698
170,Shinjuku,35.689407,139.700306
171,Shinjuku-Gyoemmae,35.68857,139.710853
172,Shinjuku-nishiguchi,35.693291,139.699131
173,Shinjuku-sanchome,35.690798,139.706353
174,Shinonome,35.640694,139.803609
175,Shinozaki,35.7061,139.903863
176,Shintomicho,35.670518,139.773599
177,Shiodome,35.662899,139.759969
178,Shirokane-takanawa,35.642854,139.734075
179,Shirokanedai,35.638417,139.726773
180,Suehiroch?,35.702541,139.771707
181,Sugamo,35.733705,139.740348
182,Suidobashi,35.702929,139.75556
183,Suiteng?mae,35.68299,139.785154
184,Sumiyoshi,35.688762,139.815734
185,Takadanobaba,35.713446,139.704138
186,Takanawadai,35.63166,139.730326
187,Takaracho,35.675727,139.771945
188,Takashimadaira,35.788919,139.66127
189,Takebashi,35.690508,139.756536
190,Tameike-Sann?,35.673829,139.74174
191,Tatsumi,35.645771,139.810348
192,Tawaramachi,35.709804,139.790755
193,Tenn?zu Isle,35.620428,139.750851
194,Tochomae,35.690569,139.69266
195,T?daimae,35.717817,139.758015
196,Togoshi,35.614524,139.716332
197,Tokyo,35.681167,139.767044
198,Tokyo Teleport,35.627533,139.778813
199,Toranomon,35.670128,139.750073
200,Toshimaen,35.742089,139.64919
201,T?y?ch?,35.669541,139.818865
202,Toyosu,35.653733,139.795349
203,Tsukiji,35.66788,139.772516
204,Tsukijishijo,35.66488,139.766877
205,Tsukishima,35.664686,139.784431
206,Uchisaiwaicho,35.669382,139.755169
207,Ueno,35.712363,139.776188
208,Ueno-Hirok?ji,35.707904,139.773091
209,Ueno-okachimachi,35.707967,139.773381
210,Urayasu,35.665882,139.893255
211,Ushigome-kagurazaka,35.700638,139.735909
212,Ushigome-yanagicho,35.699601,139.725705
213,Wakamatsu-kawada,35.699235,139.718075
214,Wakoshi,35.788404,139.612247
215,Waseda,35.705652,139.722157
216,Yotsuya,35.686152,139.730218
217,Yotsuya-Sanch?me,35.687931,139.72063
218,Yoyogi,35.684106,139.702172
219,Yoyogi-koen,35.66971,139.688912
220,Yoyogi-uehara,35.668986,139.679858
221,Yurakucho,35.674919,139.762819
222,Yushima,35.70682,139.769988
223,Zoshigaya,35.720243,139.714843
