ID,Node,Lat,Lon
160,Shin-egota,139.670439,35.732592
161,Shin-itabashi,139.720929,35.748976
162,Shin-Kiba,139.826694,35.645902
163,Shin-K?enji,139.648272,35.697819
164,Shin-Nakano,139.66982,35.697655
165,Shin-ochanomizu,139.765433,35.696931
166,Shin-okachimachi,139.783041,35.70693
167,Shin-?tsuka,139.729829,35.726075
168,Shin-takashimadaira,139.654304,35.79024
169,Shinagawa Seaside,139.749698,35.609449
170,Shinjuku,139.700306,35.689407
171,Shinjuku-Gyoemmae,139.710853,35.68857
172,Shinjuku-nishiguchi,139.699131,35.693291
173,Shinjuku-sanchome,139.706353,35.690798
174,Shinonome,139.803609,35.640694
175,Shinozaki,139.903863,35.7061
176,Shintomicho,139.773599,35.670518
177,Shiodome,139.759969,35.662899
178,Shirokane-takanawa,139.734075,35.642854
179,Shirokanedai,139.726773,35.638417
180,Suehiroch?,139.771707,35.702541
181,Sugamo,139.740348,35.733705
182,Suidobashi,139.75556,35.702929
183,Suiteng?mae,139.785154,35.68299
184,Sumiyoshi,139.815734,35.688762
185,Takadanobaba,139.704138,35.713446
186,Takanawadai,139.730326,35.63166
187,Takaracho,139.771945,35.675727
188,Takashimadaira,139.66127,35.788919
189,Takebashi,139.756536,35.690508
190,Tameike-Sann?,139.74174,35.673829
191,Tatsumi,139.810348,35.645771
192,Tawaramachi,139.790755,35.709804
193,Tenn?zu Isle,139.750851,35.620428
194,Tochomae,139.69266,35.690569
195,T?daimae,139.758015,35.717817
196,Togoshi,139.716332,35.614524
197,Tokyo,139.767044,35.681167
198,Tokyo Teleport,139.778813,35.627533
199,Toranomon,139.750073,35.670128
200,Toshimaen,139.64919,35.742089
201,T?y?ch?,139.818865,35.669541
202,Toyosu,139.795349,35.653733
203,Tsukiji,139.772516,35.66788
204,Tsukijishijo,139.766877,35.66488
205,Tsukishima,139.784431,35.664686
206,Uchisaiwaicho,139.755169,35.669382
207,Ueno,139.776188,35.712363
208,Ueno-Hirok?ji,139.773091,35.707904
209,Ueno-okachimachi,139.773381,35.707967
210,Urayasu,139.893255,35.665882
211,Ushigome-kagurazaka,139.735909,35.700638
212,Ushigome-yanagicho,139.725705,35.699601
213,Wakamatsu-kawada,139.718075,35.699235
214,Wakoshi,139.612247,35.788404
215,Waseda,139.722157,35.705652
216,Yotsuya,139.730218,35.686152
217,Yotsuya-Sanch?me,139.72063,35.687931
218,Yoyogi,139.702172,35.684106
219,Yoyogi-koen,139.688912,35.66971
220,Yoyogi-uehara,139.679858,35.668986
221,Yurakucho,139.762819,35.674919
222,Yushima,139.769988,35.70682
223,Zoshigaya,139.714843,35.720243
